spring	loc	mode	Freq_P1	Freq_P2	Freq_err	spring_const	spring_consterr	loc_val	loc_err	expct_Freq	expct_Freq_err
1	1	0	4.21321463747	4.21321463747	0.0915921566187	3.20778210044	0.0178610036282	0.133	0.003	3.78295150652	0.00716877922523
1	1	1	4.23792557376	4.23792557376	0.092129357169	3.20778210044	0.0178610036282	0.133	0.003	3.79379862936	0.00715711801781
1	2	0	4.22721947272	4.22721947272	0.0960737574416	3.20778210044	0.0178610036282	0.2225	0.003	3.78295150652	0.00716877922523
1	2	1	4.25323313101	4.25323313101	0.0966649842027	3.20778210044	0.0178610036282	0.2225	0.003	3.81323171362	0.00713887479941
1	3	0	4.17553453958	4.17553453958	0.0994181182662	3.20778210044	0.0178610036282	0.308	0.003	3.78295150652	0.00716877922523
1	3	1	4.26636039376	4.26636039376	0.096963334761	3.20778210044	0.0178610036282	0.308	0.003	3.84076496347	0.0071187981558
1	4	0	4.13862505263	4.13862505263	0.094060223522	3.20778210044	0.0178610036282	0.418	0.003	3.78295150652	0.00716877922523
1	4	1	4.33323124633	4.33323124633	0.0902761697938	3.20778210044	0.0178610036282	0.418	0.003	3.88876817398	0.00709971143405
2	1	0	4.23792557376	4.23792557376	0.092129357169	30.4874228538	0.647160877092	0.133	0.003	3.78295150652	0.00716877922523
2	1	1	4.21433160847	4.40589213613	0.0957808478585	30.4874228538	0.647160877092	0.133	0.003	3.88482100289	0.00799130393573
2	2	0	4.2095782455	4.2095782455	0.0779555395707	30.4874228538	0.647160877092	0.2225	0.003	3.78295150652	0.00716877922523
2	2	1	4.41936581239	4.61151215206	0.0960737574416	30.4874228538	0.647160877092	0.2225	0.003	4.06162807502	0.0102775902611
2	3	0	4.1139903797	4.1139903797	0.0935003379065	30.4874228538	0.647160877092	0.308	0.003	3.78295150652	0.00716877922523
2	3	1	4.78901319145	4.78901319145	0.0957808478585	30.4874228538	0.647160877092	0.308	0.003	4.30113163945	0.0140860774473
2	4	0	4.13862505263	4.13862505263	0.094060223522	30.4874228538	0.647160877092	0.418	0.003	3.78295150652	0.00716877922523
2	4	1	5.34739175079	5.34739175079	0.0954897188916	30.4874228538	0.647160877092	0.418	0.003	4.69320753396	0.020660619888
3	1	0	4.22721947272	4.22721947272	0.0960737574416	165.561223371	1.17279065989	0.133	0.003	3.78295150652	0.00716877922523
3	1	1	4.84702866554	4.84702866554	0.0897603030186	165.561223371	1.17279065989	0.133	0.003	4.30726512737	0.0174785390096
3	2	0	4.27956893987	4.27956893987	0.0972635327027	165.561223371	1.17279065989	0.2225	0.003	3.78295150652	0.00716877922523
3	2	1	5.53837002761	5.53837002761	0.0954897188916	165.561223371	1.17279065989	0.2225	0.003	5.11686318759	0.0249715759853
3	3	0	4.18879020479	4.18879020479	0.0952003543534	165.561223371	1.17279065989	0.308	0.003	3.78295150652	0.00716877922523
3	3	1	6.60334761583	6.60334761583	0.100051358722	165.561223371	1.17279065989	0.308	0.003	6.08761431427	0.0309475949675
3	4	0	4.18879020479	4.18879020479	0.0952003543534	165.561223371	1.17279065989	0.418	0.003	3.78295150652	0.00716877922523
3	4	1	8.44009966636	8.44009966636	0.0937794450591	165.561223371	1.17279065989	0.418	0.003	7.4972944765	0.0378637450492
4	1	0	4.126270948	4.126270948	0.0937794450591	55.4326207947	0.248952490127	0.133	0.003	3.78295150652	0.00716877922523
4	1	1	4.4221832074	4.4221832074	0.092129357169	55.4326207947	0.248952490127	0.133	0.003	3.96622618109	0.00899658672846
4	2	0	4.1139903797	4.1139903797	0.0935003379065	55.4326207947	0.248952490127	0.2225	0.003	3.78295150652	0.00716877922523
4	2	1	4.83321946706	4.83321946706	0.0929470781954	55.4326207947	0.248952490127	0.2225	0.003	4.27615691086	0.0113720184693
4	3	0	4.16355652885	4.16355652885	0.094626854788	55.4326207947	0.248952490127	0.308	0.003	3.78295150652	0.00716877922523
4	3	1	5.23598775598	5.23598775598	0.096963334761	55.4326207947	0.248952490127	0.308	0.003	4.6826526454	0.0138344035142
4	4	0	4.20152208991	4.20152208991	0.0954897188916	55.4326207947	0.248952490127	0.418	0.003	3.78295150652	0.00716877922523
4	4	1	6.02222233915	6.02222233915	0.100371013667	55.4326207947	0.248952490127	0.418	0.003	5.32344783179	0.0170211223719
